ID	Sex	BirthYear
n599	NA	2021
n59	NA	2020
n5	NA	2019
n601	NA	2021
n602	NA	2021
n603	NA	2021
n606	NA	2021
n607	NA	2021
n608	NA	2020
n609	NA	2021
n60	1	2020
n610	NA	2021
n611	1	2021
n612	NA	2019
n613	NA	2021
n614	NA	2021
n615	NA	2021
n616	NA	2021
n617	NA	2021
n618	NA	2020
n619	1	2021
n61	NA	2019
n620	NA	2020
n621	2	2020
n622	NA	2021
n623	NA	2021
n624	NA	2021
n625	NA	2021
n626	1	2021
n628	NA	2020
n629	2	2020
n62	NA	2020
n630	NA	2021
n631	NA	2021
n632	NA	2021
n633	NA	2021
n634	NA	2021
n635	NA	2021
n636	NA	2021
n637	NA	2020
n638	NA	2021
n639	NA	2021
n63	NA	2020
n641	NA	2021
n642	NA	2021
n643	NA	2021
n644	NA	2021
n645	NA	2021
n646	NA	2021
n647	NA	2021
n648	NA	2020
n649	NA	2021
n64	NA	2020
n650	NA	2020
n651	NA	2021
n652	NA	2020
n653	NA	2021
n654	NA	2021
n655	NA	2021
n656	NA	2021
n657	NA	2019
n658	NA	2021
n659	NA	2021
n65	NA	2020
n660	NA	2021
n661	NA	2020
n662	NA	2021
n663	NA	2021
n664	NA	2021
n665	NA	2021
n666	2	2020
n668	NA	2020
n669	NA	2021
n66	NA	2020
n670	NA	2021
n671	NA	2021
n672	NA	2020
n673	NA	2021
n674	NA	2021
n675	NA	2021
n676	NA	2021
n677	NA	2021
n678	NA	2019
n679	NA	2021
n67	2	2020
n680	NA	2020
n682	NA	2020
n683	NA	2021
n684	NA	2020
n685	NA	2021
n686	NA	2021
n687	NA	2021
n688	NA	2021
n689	1	2021
n68	NA	2020
n690	1	2020
n691	2	2020
n692	NA	2021
n693	NA	2021
n694	NA	2021
n695	NA	2021
n696	NA	2021
n697	NA	2020
n698	NA	2021
n699	NA	2021
n69	NA	2020
n700	NA	2021
n701	NA	2020
n702	NA	2021
n703	NA	2021
n704	NA	2021
n705	NA	2020
n706	NA	2021
n707	NA	2021
n708	NA	2021
n709	2	2021
n70	NA	2020
n710	NA	2021
n711	NA	2021
n712	NA	2021
n713	NA	2021
n716	NA	2021
n717	NA	2020
n718	NA	2021
n71	NA	2020
n720	NA	2021
n721	NA	2021
n722	NA	2020
n723	NA	2021
n724	NA	2020
n725	NA	2021
n726	1	2020
n728	NA	2021
n729	NA	2021
n72	NA	2020
n730	NA	2020
n731	NA	2021
n733	NA	2021
n734	NA	2021
n735	NA	2021
n736	NA	2021
n737	NA	2020
n738	NA	2021
n73	NA	2019
n740	NA	2021
n741	NA	2020
n742	NA	2020
n744	NA	2020
n746	NA	2021
n747	NA	2021
n748	NA	2020
n749	NA	2020
n74	1	2020
n750	NA	2021
n751	1	2020
n753	NA	2021
n754	NA	2020
n755	1	2021
n756	NA	2019
n757	NA	2020
n758	NA	2021
n759	NA	2021
n75	NA	2020
n760	NA	2021
n761	NA	2021
n762	NA	2021
n764	NA	2021
n766	2	2021
n767	NA	2020
n768	NA	2021
n769	NA	2021
n76	NA	2020
n770	NA	2021
n772	NA	2021
n773	NA	2021
n774	NA	2020
n775	NA	2021
n776	NA	2021
n777	NA	2021
n778	NA	2020
n779	NA	2021
n77	2	2020
n780	NA	2020
n781	NA	2020
n782	NA	2021
n783	NA	2021
n784	NA	2021
n786	NA	2021
n787	NA	2020
n788	NA	2021
n789	NA	2021
n78	NA	2020
n790	NA	2021
n791	NA	2021
n793	NA	2021
n794	NA	2021
n795	NA	2021
n796	NA	2020
n797	NA	2020
n798	NA	2021
n799	NA	2020
n79	NA	2019
n7	NA	2020
n800	NA	2020
n801	NA	2021
n802	NA	2020
n804	NA	2021
n805	NA	2020
n808	NA	2021
n809	NA	2021
n80	NA	2020
n810	1	2021
n811	NA	2020
n812	NA	2021
n813	NA	2020
n814	NA	2021
n815	NA	2021
n816	NA	2021
n817	NA	2021
n818	NA	2019
n819	NA	2021
n81	NA	2020
n820	NA	2021
n821	NA	2020
n822	NA	2020
n823	NA	2019
n824	NA	2021
n825	1	2021
n826	NA	2021
n827	NA	2021
n829	NA	2021
n82	NA	2020
n830	NA	2019
n831	NA	2021
n832	NA	2021
n833	NA	2021
n834	NA	2020
n836	NA	2020
n838	NA	2021
n839	NA	2019
n83	NA	2020
n840	1	2020
n841	NA	2021
n842	NA	2021
n843	NA	2021
n844	NA	2021
n845	NA	2021
n846	NA	2020
n847	NA	2020
n848	NA	2021
